Title,Subtitle,Price,Location
"Bilva 2 by Bhavisha Homes
NEW BOOKING","3 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹1.69 - 1.7 Cr","Nearby :
Oakridge International School
Manipal Hospital Sarjapur Road
+3"
"Ira By The Banks
NEW BOOKING","3, 4 BHK Villa in Attibele, Bangalore","3 BHK Villa
₹1.7 - 2.45 Cr
4 BHK Villa
₹1.98 - 2.7 Cr","Nearby :
Electronic City
Whitefield
+3"
"Mahaveer Celesse
3.5
NEW BOOKING","2, 3 BHK Apartment in Yelahanka, Bangalore","2 BHK Apartment
₹1.01 - 1.31 Cr
3 BHK Apartment
₹1.48 - 1.72 Cr","Nearby :
Gateway Suites Hotel
Bellary Road
+3"
"Gopalan Olympia
NEW BOOKING","2, 3 BHK Apartment in Mysore Road, Bangalore","2 BHK Apartment
₹90 - 94 L
3 BHK Apartment
₹1.3 Cr","Nearby :
The Garden Asia Resort
CHRIST Bengaluru Kengeri Campus
+3"
"Vaishnavi AT One Krishna Brindavan
NEW BOOKING","3, 4 BHK Apartment in Banashankari Stage 2, Bangalore","3 BHK Apartment
₹3.5 - 3.54 Cr
4 BHK Apartment
₹4.43 Cr","Nearby :
ORCHIDS The International School
Dayananda Sagar University
+3"
"The Adwaith by Sanjeevini
NEW BOOKING","3, 4 BHK Apartment in Gunjur, Near Varthur, Bangalore","3 BHK Apartment
₹2.18 - 2.2 Cr
4 BHK Apartment
₹2.89 Cr","Nearby :
ORCHIDS The International School
Prestige Tech Park
+3"
"Ankuraa Pristine Park
NEW BOOKING","2, 3, 4 BHK Apartment in Hagadur, Whitefield","2 BHK Apartment
₹1.53 Cr
3 BHK Apartment
₹1.83 - 2.2 Cr
4 BHK Apartment
₹2.81 - 2.83 Cr","Nearby :
Whitefield Global School
Kadugodi Tree Park Metro
+3"
"Concorde Antares
NEW BOOKING","2, 3 BHK Apartment in Vidyaranyapura, Bangalore","2 BHK Apartment
₹99 L - 1.36 Cr
3 BHK Apartment
₹1.42 - 2.11 Cr","Nearby :
Subhash Chandra Bose Rd
Sambhram Academy of Management
+3"
"Sumadhura Solea
NEW BOOKING","3, 4 BHK Apartment in Thanisandra, Bangalore","3 BHK Apartment
₹1.97 - 2.27 Cr
4 BHK Apartment
₹2.6 - 2.76 Cr","Nearby :
North Hills International School
HKBK College of Engineering
+3"
"Northern Lights by Puravankara KVN
NEW BOOKING","2, 3, 4 BHK Apartment in Bagalur, Bangalore","2 BHK Apartment
₹1.4 - 1.47 Cr
3 BHK Apartment
₹1.85 - 2.16 Cr
4 BHK Apartment
₹4.42 - 4.54 Cr","Nearby :
The School of Raya
Reva University
+3"
"Eeshanya Aaroha
NEW BOOKING","2, 3 BHK Apartment in Soukya Road, Whitefield, Bangalore","2 BHK Apartment
₹79.13 L
3 BHK Apartment
₹1.02 - 1.25 Cr","Nearby :
Bangalore International Academy
National Highway 648
+3"
"Mathapathi Grand Field
NEW BOOKING","2, 3 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹1.24 - 1.38 Cr
3 BHK Apartment
₹1.48 - 1.64 Cr","Nearby :
Karmelaram Railway Station
SH 35
+3"
"House of Sapiens
NEW BOOKING","2, 3 BHK Apartment in Hoskote, Bangalore","2 BHK Apartment
₹95.5 L - 1.16 Cr
3 BHK Apartment
₹1.36 - 1.88 Cr","Nearby :
Capstone High School
Silicon City Hospital
+3"
"Sakura Blossom
NEW BOOKING","2, 3 BHK Apartment in Budigere Cross, Bangalore","2 BHK Apartment
₹1.02 - 1.09 Cr
3 BHK Apartment
₹1.38 Cr","Nearby :
NH 75
New Baldwin Intl School
+3"
"Concorde Neo
NEW BOOKING","2, 3 BHK Apartment in Thanisandra, Bangalore","2 BHK Apartment
₹1.2 - 1.32 Cr
3 BHK Apartment
₹1.58 - 1.64 Cr","Nearby :
EuroSchool North Campus - CBSE School
Presidency PU College
+3"
"Keya Spring
3.7
NEW BOOKING","2, 4 BHK Apartment in Bannerghatta Road, Bangalore","2 BHK Apartment
₹1.64 - 1.66 Cr
4 BHK Apartment
₹3.32 Cr","Nearby :
Camry Hospitals
Prime Spectrum Mall
+3"
"Nambiar District 25
NEW BOOKING","2, 3, 4 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.7 - 2.71 Cr
3 BHK Apartment
₹2.03 - 2.85 Cr
4 BHK Apartment
₹3.34 - 4.18 Cr","Nearby :
Kshema Hospital
Smrti Academy
+3"
"Navanaami Courtyard Of Life
NEW BOOKING","3 BHK Apartment in Kodathi, Near Sarjapur Road, Bangalore","3 BHK Apartment
₹1.44 - 1.53 Cr","Nearby :
Kidztopiaa
St Jeromes PU and Degree College
+3"
