Title,Subtitle,Price,Location
"Neon
NEW BOOKING","2, 3 BHK Apartment in Sarjapur, Bangalore","2 BHK Apartment
₹88.15 L
3 BHK Apartment
₹1.1 - 1.23 Cr","Nearby :
Azim Premji University
Greens Golf Course
+3"
"Indian Springs
NEW BOOKING","Land in Electronic City, Bangalore","Land
₹1.27 - 1.63 Cr","Nearby :
Treamis Schools
Mithra Multispeciality Hospital
+3"
"Serenity Gardens by SNN Estates
NEW BOOKING","2, 3, 4 BHK Apartment in Begur Road, Bangalore","2 BHK Apartment
₹1.27 - 1.81 Cr
3 BHK Apartment
₹1.9 - 2.54 Cr
4 BHK Apartment
₹2.78 - 3.4 Cr","Nearby :
Royal Meenakshi Mall
NH 48
+3"
"Habulus Tranquil
NEW BOOKING","2, 3 BHK Apartment in Electronic City, Bangalore","2 BHK Apartment
₹1.07 - 1.13 Cr
3 BHK Apartment
₹1.41 - 1.54 Cr","Nearby :
Cyber Business Park
Ryan International Academy
+3"
"Guru Punvaanii Ernika
NEW BOOKING","Land in Anekal, Bangalore","Land
₹45 - 90 L","Nearby :
Vishwa Chethana School
Alliance University
+3"
"Melodies of Life
NEW BOOKING","Land in Sarjapur Road, Bangalore","Land
₹2.83 - 3.54 Cr","Nearby :
Primus Public School
Mount Carmel School
+3"
"HM Indigo
3.6
NEW BOOKING","2, 3 BHK Apartment in 9th Phase JP Nagar, Bangalore","2 BHK Apartment
₹1.2 - 1.51 Cr
3 BHK Apartment
₹1.62 - 1.9 Cr","Nearby :
RV INSTITUTE OF TECHNOLOGY & MGMT
Metro Cash and Carry
+3"
"Royal Nest by Wone8 Estates
NEW BOOKING","2, 3 BHK Apartment in Sarjapur, Bangalore","2 BHK Apartment
₹78.01 - 90.23 L
3 BHK Apartment
₹95.21 L - 1.26 Cr",NA
"Guru Punvaanii Eureka
NEW BOOKING","Land in Bidadi, Bangalore","Land
₹36 - 72 L","Nearby :
Marigold International School
Gopalan National School
+3"
"Mana Skandas The Right Life
NEW BOOKING","2, 3, 4 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.3 - 2.1 Cr
3 BHK Apartment
₹2.5 - 2.94 Cr
4 BHK Apartment
₹3.18 - 3.38 Cr","Nearby :
Inventure Academy
St Jeromes PU and Degree College
+3"
"SLV Spring Meadows
NEW BOOKING","2, 3 BHK Apartment in Kogilu, Near Yelahanka, Bangalore","2 BHK Apartment
₹87.73 - 93.53 L
3 BHK Apartment
₹97.15 L - 1.17 Cr","Nearby :
Bhartiya IT Park
Brigade Magnum
+3"
"Ashrith Pravahya Township
NEW BOOKING","Land in Electronics City Phase 1, Bangalore","Land
₹94.16 L - 1.62 Cr","Nearby :
Vijaya Nursing Home Hospital
HariSri Hotel
+3"
"KNS Candrill
NEW BOOKING","Land in Doddaballapur, Doddaballapur Road","Land
₹59.99 L - 1.2 Cr","Nearby :
Shree Vani PU College
Doddaballapur District Hospital
+3"
"Vruksha Greens
NEW BOOKING","2, 3 BHK Apartment in Jalahalli, BEL Road, Bangalore","2 BHK Apartment
₹85.12 L
3 BHK Apartment
₹95.11 L",NA
"Aakruthi Roots And Rays
NEW BOOKING","Land in Budigere Cross, Bangalore","Land
₹1.58 - 1.89 Cr","Nearby :
National Highway 75
Garden City University
+3"
"Sinovik Nirvana
NEW BOOKING","2, 3 BHK Apartment in Gattahalli, Near Sarjapur Road, Bangalore","2 BHK Apartment
₹81.83 - 93.53 L
3 BHK Apartment
₹1 - 1.09 Cr","Nearby :
Amrita International Vidyalayam
PES University
+3"
"Shapoorji Pallonji Parkwest
4.3
NEW BOOKING","3, 4 BHK Apartment in Binny Pete, Magadi Road","3 BHK Apartment
₹2.99 Cr
4 BHK Apartment
₹4.22 Cr","Nearby :
ETA Namma Mall
Mysore Road
+3"
"ATCO La Vivant
NEW BOOKING","3, 4 BHK Apartment, 4 BHK Villa in Sarjapur, Bangalore","3 BHK Apartment
₹1.44 - 1.5 Cr
4 BHK Apartment
₹2.26 - 2.78 Cr
4 BHK Villa
₹2.13 - 3.4 Cr","Nearby :
St. Philomena's Central School
St. Philomena's PU and Degree College
+3"
"Sattva La Vita
NEW BOOKING","4 BHK Villa in Byrathi, Near Hennur Road, Bangalore","4 BHK Villa
₹5.67 - 5.69 Cr","Nearby :
United International School
United International College
+3"
"Sri Sai Nandana Regal
NEW BOOKING","2, 3 BHK Apartment in Electronics City Phase 1, Bangalore","2 BHK Apartment
₹55.25 - 62.5 L
3 BHK Apartment
₹68.75 - 88.5 L","Nearby :
The Oterra Hotel
Unique High Intl School
+3"
"Sattva Vasanta Skye
NEW BOOKING","1, 2, 3, 4 BHK Apartment in Devanahalli, Bangalore","1 BHK Apartment
₹79.59 L - 1.19 Cr
2 BHK Apartment
₹1.27 - 1.5 Cr
3 BHK Apartment
₹1.6 - 2.07 Cr
4 BHK Apartment
₹2.41 - 2.64 Cr","Nearby :
National Academy for Learning
Club Cabana Amusement Park
+3"
"Jeya Green Horizon
NEW BOOKING","2, 3 BHK Apartment in Old Airport Road, Bangalore","2 BHK Apartment
₹1.55 - 1.6 Cr
3 BHK Apartment
₹2.03 - 2.36 Cr","Nearby :
Nalapad Academy
National Highway 648
+3"
"Godrej Aveline
NEW BOOKING","3, 4 BHK Apartment in Yelahanka, Bangalore","3 BHK Apartment
₹2.67 - 3.68 Cr
4 BHK Apartment
₹3.76 Cr","Nearby :
Ryan International School
REVA University
+3"
"SLV Golden Towers
NEW BOOKING","2, 3, 4 BHK Apartment in Kogilu, Near Yelahanka, Bangalore","2 BHK Apartment
₹1.27 - 1.53 Cr
3 BHK Apartment
₹1.75 - 2.07 Cr
4 BHK Apartment
₹2.59 Cr","Nearby :
Aster CMI
The Gelleria Mall
+3"
"Evergreen at Prestige Raintree Park
NEW BOOKING","2, 3, 4 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.6 - 2.08 Cr
3 BHK Apartment
₹2.01 - 2.8 Cr
4 BHK Apartment
₹3.07 - 3.4 Cr","Nearby :
The Prodigies School
Nexus Whitefield Mall
+3"
"Inspira Infinity
NEW BOOKING","2 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.35 - 1.37 Cr","Nearby :
Anjanadri High School
Belenus Champion Hospital
+3"
"Sumadhura Epitome 1
NEW BOOKING","2, 3, 4 BHK Apartment in Hebbal, Bangalore","2 BHK Apartment
₹1.55 - 2.05 Cr
3 BHK Apartment
₹2.19 - 2.36 Cr
4 BHK Apartment
₹2.5 Cr","Nearby :
SH 104
Saamar International School
+3"
"Prestige Raintree Park
NEW BOOKING","3, 4, 5 BHK Apartment in Whitefield, Bangalore","3 BHK Apartment
₹2.87 - 3.25 Cr
4 BHK Apartment
₹3.31 - 4.04 Cr
5 BHK Apartment
₹4.86 - 5.37 Cr","Nearby :
State Highway 35
The Prodigies International School
+3"
"Felicity By Vantage Point
NEW BOOKING","Land in Harohalli, Kanakapura Road","Land
₹45 - 68.47 L","Nearby :
Pragathi Vidyanikethana School
Magnolia by Jade
+3"
"RK Celesta
NEW BOOKING","2, 3 BHK Apartment in Attibele, Bangalore","2 BHK Apartment
₹80 L
3 BHK Apartment
₹1.04 - 1.16 Cr","Nearby :
Attibele Public School
Sri Sai Hospitals, Attibele
+3"
"Esteem South Park
NEW BOOKING","2 BHK Apartment in Gottigere, Bannerghatta Road","2 BHK Apartment
₹90 L - 1.36 Cr","Nearby :
Carmel Academy
Royal Meenakshi Mall
+3"
"Elenn Eternity
NEW BOOKING","Land in Devanahalli, Bangalore","Land
₹78 L - 1.56 Cr","Nearby :
KIA Airport
KIADB PH-1
+3"
"Saideep Hiranya
NEW BOOKING","2, 3 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.37 - 1.82 Cr
3 BHK Apartment
₹1.75 - 1.96 Cr",NA
"JCSV Pride
4.0
NEW BOOKING","2, 3 BHK Apartment in 8th Phase JP Nagar, Bangalore","2 BHK Apartment
₹90 L - 1.03 Cr
3 BHK Apartment
₹1.4 - 1.61 Cr","Nearby :
Love Of Learning Montessori School
Fortis International Care
+3"
"Brigade Belvedere
NEW BOOKING","1, 2, 3 BHK Apartment in Budigere Cross, Bangalore","1 BHK Apartment
₹1.1 Cr
2 BHK Apartment
₹1.44 - 1.49 Cr
3 BHK Apartment
₹1.95 - 2.72 Cr","Nearby :
National Public School
Garden City University
+3"
"TVS Emerald Altura
NEW BOOKING","2, 3 BHK Apartment in Hennur Road, Bangalore","2 BHK Apartment
₹1.3 - 1.36 Cr
3 BHK Apartment
₹1.71 - 2.35 Cr","Nearby :
Bagalur Cross Metro Station
Yelahanka Railway Station
+3"
"SRK Habitat
NEW BOOKING","2, 3 BHK Apartment in HSR Layout, Bangalore","2 BHK Apartment
₹80.23 L
3 BHK Apartment
₹87.71 L - 1.06 Cr",NA
"Godrej Parkshire
NEW BOOKING","2, 3 BHK Apartment in Hoskote, Bangalore","2 BHK Apartment
₹1.19 - 1.33 Cr
3 BHK Apartment
₹1.78 - 1.96 Cr","Nearby :
Delhi Public School
MVJ Engineering College
+3"
"Muppiri Pursuit of Happiness
NEW BOOKING","2, 3 BHK Apartment in JP Nagar, Bangalore","2 BHK Apartment
₹1.02 - 1.25 Cr
3 BHK Apartment
₹1.37 - 1.49 Cr","Nearby :
Royal Public School
Neighbourhood Hospital
+3"
"STSK Nature Elation
NEW BOOKING","2, 3 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹96.48 L
3 BHK Apartment
₹1.07 - 1.3 Cr","Nearby :
NPS Marathahalli
Sri Narayana Hospital
+3"
"Sattva Songbird
NEW BOOKING","1, 2, 3 BHK Apartment, 4 BHK Villa, 1 RK Studio Apartment in Budigere Cross, Bangalore","1 BHK Apartment
₹94.88 L
2 BHK Apartment
₹1.82 - 1.99 Cr
3 BHK Apartment
₹2.44 - 2.55 Cr
1 RK Studio Apartment
₹63.15 L","Nearby :
Sri Jnanagangotri International School
Garden City University
+3"
"Legacy Mihira
NEW BOOKING","Land in Devanahalli, Bangalore","Land
₹96 L - 2.86 Cr","Nearby :
National Highway 648
Harrow Intl School
+3"
"Mana Vista
NEW BOOKING","2, 3 BHK Apartment in Gattahalli, Near Sarjapur Road, Bangalore","2 BHK Apartment
₹1.23 - 1.26 Cr
3 BHK Apartment
₹1.47 - 1.72 Cr","Nearby :
Kempegowda International Airport
Marvel Multispeciality Hospital
+3"
"Yuva Sunrise
NEW BOOKING","1, 2, 3 BHK Apartment in Attibele, Bangalore","1 BHK Apartment
₹47.72 L
2 BHK Apartment
₹62.95 - 78.02 L
3 BHK Apartment
₹82.44 - 96.52 L","Nearby :
Sri Sai Hospitals, Attibele
Thirumagondanahalli Service Road
+3"
"MR Ragam Meadows
NEW BOOKING","2, 3 BHK Apartment in Begur, Bangalore","2 BHK Apartment
₹78.3 - 79.65 L
3 BHK Apartment
₹97.2 L - 1.14 Cr",NA
"Vertex Wellington
NEW BOOKING","2 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹1.13 - 1.19 Cr","Nearby :
Gunjur Club
Wipro Sez
+3"
"Brigade Eternia
NEW BOOKING","3, 4 BHK Apartment in Yelahanka, Bangalore","3 BHK Apartment
₹2.23 - 3.96 Cr
4 BHK Apartment
₹4.51 - 4.87 Cr","Nearby :
Mallya Aditi International School
NITTE University
+3"
"Amberstone Ventara Residences
NEW BOOKING","3, 4 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹1.5 - 2.15 Cr
4 BHK Apartment
₹2.42 - 2.69 Cr","Nearby :
Oakridge International School
Belenus Champion Hospital
+3"
"Mana Verdant Terraces
NEW BOOKING","3 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹2.46 - 3.58 Cr","Nearby :
RGA Tech Park
Harvest International School
+3"
"Onyx
NEW BOOKING","2, 3 BHK Apartment in Mugalur, Bangalore","2 BHK Apartment
₹1.16 Cr
3 BHK Apartment
₹1.36 - 1.43 Cr","Nearby :
Champion International School
Azim Premji University
+3"
"Hillcrest Haven
NEW BOOKING","Land in Devanahalli, Bangalore","Land
₹95.63 L - 1.63 Cr","Nearby :
Kempe Gowda International Airport"
"Hexa Skyline
NEW BOOKING","2 BHK Apartment in Gottigere, Bannerghatta Road","2 BHK Apartment
₹75.91 - 91.6 L",NA
"Whispers of The Wind by DivyaSree
NEW BOOKING","Land in Nandi Hills, Chikkaballapur, Bangalore","Land
₹1.53 Cr","Nearby :
Gitanjali International School
JW Marriott Bengaluru
+3"
"RRL Palacio
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹77 - 89.13 L
3 BHK Apartment
₹97.01 L - 1.08 Cr","Nearby :
Sarjapura - Attibele Road
Azim Premji University
+3"
"VRL Royal Homes
NEW BOOKING","2, 3 BHK Apartment in Sarjapur, Bangalore","2 BHK Apartment
₹57.78 - 62.86 L
3 BHK Apartment
₹77.04 - 94.43 L",NA
"Sumadhura Panorama
NEW BOOKING","Land in Devanahalli, Bangalore","Land
₹95.99 L - 2.4 Cr","Nearby :
Chinmayee Public School
NH 44
+3"
"Shriram WYT Field
NEW BOOKING","2 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹91 L - 1.08 Cr","Nearby :
Geetanjali International School
National Highway 75
+3"
"Prestige Southern Star
NEW BOOKING","1, 2, 3, 4 BHK Apartment in Begur Road, Bangalore","1 BHK Apartment
₹79 L
2 BHK Apartment
₹1.35 - 1.9 Cr
3 BHK Apartment
₹1.94 - 3.38 Cr
4 BHK Apartment
₹3.29 - 3.41 Cr","Nearby :
Royal Meenakshi Mall
Singasandra Metro Station
+3"
"Godrej Woods
NEW BOOKING","2, 3 BHK Apartment in Thanisandra, Bangalore","2 BHK Apartment
₹1.59 - 1.63 Cr
3 BHK Apartment
₹2.91 Cr","Nearby :
National Highway 44
Reva University
+3"
"Gardeniaa 4 by Bhavisha Homes
NEW BOOKING","2, 3 BHK Apartment in Sompura, Sarjapur Road","2 BHK Apartment
₹73.1 L - 1.19 Cr
3 BHK Apartment
₹94 L - 1.2 Cr","Nearby :
Spandana Heart Hospital
Natura Walk Mall
+3"
"Meda East Winds
NEW BOOKING","2, 3, 4 BHK Apartment in Panathur, Bangalore","2 BHK Apartment
₹94.95 L - 1.21 Cr
3 BHK Apartment
₹1.34 - 1.76 Cr
4 BHK Apartment
₹2.46 - 2.5 Cr","Nearby :
Insight Academy School
New Horizon College of Engineering
+3"
"Sowparnika Whispering Petals
NEW BOOKING","1, 2, 3 BHK Apartment in Hoskote, Bangalore","1 BHK Apartment
₹45.43 - 48.31 L
2 BHK Apartment
₹85.99 - 89.06 L
3 BHK Apartment
₹98.52 L - 1.1 Cr","Nearby :
Capstone High School
National Highway 75
+3"
"Mana Jardin Neo
NEW BOOKING","3, 4, 5 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹4.02 Cr
4 BHK Apartment
₹4.6 Cr
5 BHK Apartment
₹7.6 Cr","Nearby :
Sparsh Hospital
Karmelaram Train Station
+3"
"Embassy Verde
NEW BOOKING","1, 2, 3 BHK Apartment in Devanahalli, Bangalore","1 BHK Apartment
₹62 - 67.92 L
2 BHK Apartment
₹94.48 L - 1.08 Cr
3 BHK Apartment
₹1.09 - 1.34 Cr","Nearby :
To The Tee Golf Academy
Vidyashilp University
+3"
"LVS Greenwoods
NEW BOOKING","2, 3 BHK Apartment in KR Puram, Bangalore","2 BHK Apartment
₹85.16 - 98.02 L
3 BHK Apartment
₹1.12 - 1.33 Cr","Nearby :
St.Antony's Public School
Garden City University
+3"
"Bhavisha Bilva
NEW BOOKING","3 BHK Apartment in Sompura, Sarjapur Road","3 BHK Apartment
Price on Request","Nearby :
Sri Lakshmi Multi Speciality Hospital
Forum The Prestige City Mall
+3"
"Century Kindle
NEW BOOKING","2, 3, 4 BHK Apartment in Yelahanka, Bangalore","2 BHK Apartment
₹1.09 - 1.21 Cr
3 BHK Apartment
₹1.41 - 1.7 Cr
4 BHK Apartment
₹2.37 - 2.83 Cr","Nearby :
Narayana eTechno School
Nagarjuna Pre University College
+3"
"Whispers of Bliss
NEW BOOKING","4 BHK Villa in Varthur, Bangalore","4 BHK Villa
₹2.76 - 2.98 Cr","Nearby :
Vasishta School of Excellence
The Foundation School
+3"
"Nambiar Millennia
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹79 L - 1.17 Cr
3 BHK Apartment
₹92.8 L - 1.48 Cr","Nearby :
Delhi Public School
SRT Mall
+3"
"Sattva Forest Ridge
NEW BOOKING","1, 2, 3 BHK Apartment in 9th Phase JP Nagar, Bangalore","1 BHK Apartment
₹69.53 - 72.86 L
2 BHK Apartment
₹1.31 - 1.74 Cr
3 BHK Apartment
₹1.73 - 2.01 Cr","Nearby :
Sri Kumaran Public School
Ritu Hospital
+3"
"Adarsh Parkland
NEW BOOKING","2, 3 BHK Apartment in Panathur, Bangalore","2 BHK Apartment
₹1.69 - 1.7 Cr
3 BHK Apartment
₹2.12 Cr","Nearby :
Vibgyor High School
Sakra World Hospital
+3"
"VKK Grand
NEW BOOKING","2, 3 BHK Apartment in Horamavu Agara, Bangalore","2 BHK Apartment
₹81.96 - 99.04 L
3 BHK Apartment
₹1.05 - 1.27 Cr","Nearby :
ORCHIDS The International School 
Kriyashila Hospitals
+3"
"Ramky Fortuna
NEW BOOKING","1, 2, 3, 4 BHK Apartment in Whitefield, Bangalore","1 BHK Apartment
₹76.59 - 79 L
2 BHK Apartment
₹1.22 - 1.55 Cr
3 BHK Apartment
₹1.8 - 2.47 Cr
4 BHK Apartment
₹2.66 - 3.37 Cr","Nearby :
Orchids The International School
Whitefield Railway Station
+3"
"Adarsh Park Heights
NEW BOOKING","2, 3 BHK Apartment in Gunjur, Near Varthur, Bangalore","2 BHK Apartment
₹1.55 - 1.6 Cr
3 BHK Apartment
₹2.08 - 2.2 Cr","Nearby :
SH 35
Belandur Road Railway Station
+3"
"Sumadhura Silver Ripples
4.0
NEW BOOKING","2, 3, 4 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.8 - 2.22 Cr
3 BHK Apartment
₹2.53 - 3.02 Cr
4 BHK Apartment
₹3.01 Cr","Nearby :
Kempegowda International Airport
Vydehi Hospital
+3"
"Bhartiya Nikoo Homes 5
NEW BOOKING","2, 3, 4 BHK Apartment in Chokkanahalli, Near Thanisandra, Bangalore","2 BHK Apartment
₹1.31 - 1.66 Cr
3 BHK Apartment
₹1.93 - 2.63 Cr
4 BHK Apartment
₹3.06 Cr","Nearby :
Sadhana Vidya Kendra
Yenepoya University Bhartiya City
+3"
"Fortune Seven Sarjapur
NEW BOOKING","2, 3, 4 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹96.84 L - 1.01 Cr
3 BHK Apartment
₹1.12 - 1.52 Cr
4 BHK Apartment
₹1.68 Cr","Nearby :
National Highway 948A
Azim Premji University
+3"
"Prestige Elm Park
NEW BOOKING","3, 4 BHK Apartment in Whitefield, Bangalore","3 BHK Apartment
₹2.68 - 3.25 Cr
4 BHK Apartment
₹3.73 - 3.85 Cr","Nearby :
Channasandra Main Road
Whitefield Global School
+3"
"MG Trident
NEW BOOKING","2, 3 BHK Apartment in Sarjapur, Bangalore","2 BHK Apartment
₹45.68 L
3 BHK Apartment
₹55.35 - 62.55 L",NA
"Mana Cresta
NEW BOOKING","2, 3 BHK Apartment in Chikkanayakanahalli, Near Sarjapur Road, Bangalore","2 BHK Apartment
₹1.64 - 1.89 Cr
3 BHK Apartment
₹1.85 - 2.2 Cr","Nearby :
Glentree Academy School
Belenus Champion Hospital
+3"
"Raaga by Bhavisha Homes
NEW BOOKING","3 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹1.13 - 1.18 Cr","Nearby :
Kempegowda International Airport
One World International School
+3"
"Birla Trimaya Phase 4
NEW BOOKING","2, 3, 4 BHK Apartment in Devanahalli, Bangalore","2 BHK Apartment
₹1.12 - 1.15 Cr
3 BHK Apartment
₹1.49 - 2.01 Cr
4 BHK Apartment
₹2.95 - 4.29 Cr","Nearby :
National Highway 44
Kempegowda International Airport
+3"
"Mana Dale
NEW BOOKING","3, 4 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹1.68 - 1.94 Cr
4 BHK Apartment
₹2.18 - 2.27 Cr","Nearby :
Sarjapur Rd
Market Square Mall
+3"
"Sri Sai Dev Enclave
NEW BOOKING","Land in Budigere, Bangalore","Land
₹75.59 L - 2.52 Cr","Nearby :
Nalanda Group of Institutions
Sunrise International School
+3"
"Sattva Lumina
NEW BOOKING","1, 2, 3 BHK Apartment in Yelahanka, Bangalore","1 BHK Apartment
₹65.55 - 83.78 L
2 BHK Apartment
₹1.15 - 1.46 Cr
3 BHK Apartment
₹1.48 - 1.79 Cr","Nearby :
Sai Vidya Institute of Technology
Ramada by Wyndham
+3"
"Coevolve Florenza
NEW BOOKING","3 BHK Apartment in Sarjapur, Bangalore","3 BHK Apartment
₹1 - 1.13 Cr","Nearby :
Aikhyatha Public School
Azim Premji University
+3"
"Mighty Yuva
NEW BOOKING","2, 3, 4 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹93 L - 1.04 Cr
3 BHK Apartment
₹1.26 - 1.54 Cr
4 BHK Apartment
₹1.63 Cr","Nearby :
Great International School
Garden City University
+3"
"Folium By Sumadhura Phase 1
NEW BOOKING","2, 3, 4 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.88 - 2.05 Cr
3 BHK Apartment
₹2.12 - 2.55 Cr
4 BHK Apartment
₹2.9 - 2.93 Cr","Nearby :
The Cambridge Junior School
Svastha Hospital
+3"
"Assetz Soho and Sky
NEW BOOKING","3, 4 BHK Apartment in Jakkur, Bangalore","3 BHK Apartment
₹2.62 - 3.75 Cr
4 BHK Apartment
₹4.01 - 4.23 Cr","Nearby :
PKS School
SH 104
+3"
"Oakstone Sn Celeste
NEW BOOKING","2, 3 BHK Apartment in Hosa Road, Bangalore","2 BHK Apartment
₹1.15 Cr
3 BHK Apartment
₹1.43 - 1.65 Cr","Nearby :
Bluebell Public School
PES University
+3"
"Casagrand Hazen
NEW BOOKING","1, 2, 3, 4 BHK Apartment in Gottigere, Bannerghatta Road","1 BHK Apartment
₹70.36 L - 1.35 Cr
2 BHK Apartment
₹1.1 - 1.94 Cr
3 BHK Apartment
₹1.3 - 2.31 Cr
4 BHK Apartment
₹2.74 - 2.75 Cr","Nearby :
Mount St Joseph School
Noble Multispeciality Hospitals
+3"
"Tata Varnam
NEW BOOKING","2, 3, 5 BHK Apartment, 3, 4 BHK Villa in Chokkahalli, Bangalore","2 BHK Apartment
₹1.32 - 1.62 Cr
3 BHK Apartment
₹1.6 - 2.02 Cr
5 BHK Apartment
₹3.98 - 4.11 Cr
3 BHK Villa
₹2.94 - 3.54 Cr","Nearby :
IIBS Bengaluru Airport Campus
Forum Mall Bengaluru
+3"
"Rohan Upavan
3.8
NEW BOOKING","2, 3 BHK Apartment in Hennur Road, Bangalore","2 BHK Apartment
₹1.29 - 1.48 Cr
3 BHK Apartment
₹1.84 - 3.45 Cr","Nearby :
United International School
State Highway 104
+3"
"SLV Enclave
NEW BOOKING","2, 3 BHK Apartment in Kadugodi, Bangalore","2 BHK Apartment
₹77.51 - 81.59 L
3 BHK Apartment
₹89.97 - 93.12 L","Nearby :
Svastha Hospital
Nexus Mall
+3"
"Vajram Vivera
NEW BOOKING","3, 4 BHK Apartment in Kogilu, Near Yelahanka, Bangalore","3 BHK Apartment
₹2.4 - 3.17 Cr
4 BHK Apartment
₹3.54 Cr","Nearby :
Westline Public School
Sri Maruthi Hospital
+3"
"Prestige Serenity Shores
NEW BOOKING","2, 3, 4 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹1.78 - 2.49 Cr
3 BHK Apartment
₹2.24 - 3.3 Cr
4 BHK Apartment
₹4.34 Cr","Nearby :
SH 35
Chrysalis High Varthur
+3"
"Nandi Lake View
NEW BOOKING","Land in Nandi Hills, Chikkaballapur, Bangalore","Land
₹59 L",NA
"Century Marathahalli
NEW BOOKING","2, 3, 4 BHK Apartment in Marathahalli, Bangalore","2 BHK Apartment
₹2.16 Cr
3 BHK Apartment
₹2.6 - 3.75 Cr
4 BHK Apartment
₹4.85 Cr","Nearby :
Brookefield Mall
BTG Tech Park
+3"
"Godrej Woodscapes
NEW BOOKING","2, 3, 4 BHK Apartment in Budigere Cross, Bangalore","2 BHK Apartment
₹1.91 - 2.05 Cr
3 BHK Apartment
₹1.59 - 3.9 Cr
4 BHK Apartment
₹3.52 - 5.82 Cr","Nearby :
Holiday Inn Express
NH 75
+3"
"Sobha Magnus
NEW BOOKING","3, 4 BHK Apartment in Bannerghatta Road, Bangalore","3 BHK Apartment
₹3.3 - 3.71 Cr
4 BHK Apartment
₹4.58 Cr","Nearby :
Royal Meenakshi Mall
Christ University Bannerghatta Road
+3"
"Brigade Insignia
NEW BOOKING","3, 4, 5 BHK Apartment in Yelahanka, Bangalore","3 BHK Apartment
₹3.6 - 4.4 Cr
4 BHK Apartment
₹5.3 Cr
5 BHK Apartment
₹8.19 Cr","Nearby :
Proposed Yelahanka Metro Station
Yelahanka Junction
+3"
"Sattva City
NEW BOOKING","2, 3, 4 BHK Apartment in Chikkajala, Bangalore","2 BHK Apartment
₹1.58 - 1.9 Cr
3 BHK Apartment
₹2.17 - 2.69 Cr
4 BHK Apartment
₹2.96 Cr","Nearby :
National Highway 44
LVS Mall
+3"
"Provident Deansgate
NEW BOOKING","3 BHK Villa in IVC Road, Devanahalli","3 BHK Villa
₹2.35 Cr","Nearby :
Club Cabana Amusement Park
National Highway 44
+3"
"Prestige Lavender Fields
NEW BOOKING","2, 3, 4 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹1.44 - 2.36 Cr
3 BHK Apartment
₹2 - 3.39 Cr
4 BHK Apartment
₹3.12 - 5.12 Cr","Nearby :
Varthur Sarjapur Road
K K English High School
+3"
"S B Skanda Lake Front
NEW BOOKING","3, 4 BHK Apartment in JP Nagar, Bangalore","3 BHK Apartment
₹1.53 - 2.38 Cr
4 BHK Apartment
₹1.98 - 2.08 Cr","Nearby :
Yellachennahalli Metro Station
Metro Cash and Carry
+3"
"Pavani Mirabilia
NEW BOOKING","2, 3, 4 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.32 - 1.74 Cr
3 BHK Apartment
₹1.57 - 1.99 Cr
4 BHK Apartment
₹2.82 - 3.02 Cr","Nearby :
Whitefield Railway Station
Whitefield (Kadugodi) Metro Station
+3"
"Adithya Homes Paradise
NEW BOOKING","Land in Whitefield, Bangalore","Land
₹81.6 L - 1.02 Cr","Nearby :
Vasishta School of Excellence
Azim Premji University
+3"
"Shriram The Poem
NEW BOOKING","2 BHK Apartment in Jalahalli, BEL Road, Bangalore","2 BHK Apartment
₹89.9 - 94.28 L","Nearby :
Unique Public School
Hesarghatta Road
+3"
"Bricks and Milestones Solcrest
NEW BOOKING","2, 3, 4 BHK Apartment in Hennur Road, Bangalore","2 BHK Apartment
₹1.33 - 1.35 Cr
3 BHK Apartment
₹1.52 - 2.06 Cr
4 BHK Apartment
₹2.16 Cr","Nearby :
Orchids The International School
CMR University
+3"
"Mahindra Blossom
NEW BOOKING","2, 3, 4 BHK Apartment in Whitefield, Bangalore","2 BHK Apartment
₹1.88 - 2.03 Cr
3 BHK Apartment
₹2.66 - 3.26 Cr
4 BHK Apartment
₹3.68 Cr","Nearby :
National Public School
MVJ College of Engineering
+3"
